group,user,time,action,object,tool
77,54,10/27/15 11:37,focused,document,document
77,54,10/27/15 11:44,created,location,document
77,54,10/27/15 11:44,created,annotations,document
77,54,10/27/15 11:45,created,person,document
77,54,10/27/15 11:45,created,annotations,document
77,54,10/27/15 11:46,created,person,document
77,54,10/27/15 11:46,created,annotations,document
77,54,10/27/15 11:46,read,person,document
77,54,10/27/15 11:46,read,annotation,document
77,54,10/27/15 11:47,created,person,document
77,54,10/27/15 11:47,created,annotations,document
77,54,10/27/15 11:47,focused,notepad,notepad
77,54,10/27/15 11:48,focused,document,document
77,54,10/27/15 11:48,focused,notepad,notepad
77,54,10/27/15 11:48,focused,document,document
77,54,10/27/15 11:48,focused,notepad,notepad
77,54,10/27/15 11:48,focused,document,document
77,54,10/27/15 11:48,read,person,document
77,54,10/27/15 11:48,read,annotation,document
77,54,10/27/15 11:49,updated,person,document
77,54,10/27/15 11:49,updated,annotations,document
77,54,10/27/15 11:49,read,person,document
77,54,10/27/15 11:49,read,annotation,document
77,54,10/27/15 11:49,read,person,document
77,54,10/27/15 11:49,read,annotation,document
77,54,10/27/15 11:49,deleted,annotations,document
77,54,10/27/15 11:49,read,person,document
77,54,10/27/15 11:49,read,annotation,document
77,54,10/27/15 11:49,read,person,document
77,54,10/27/15 11:49,read,annotation,document
77,54,10/27/15 11:49,read,person,document
77,54,10/27/15 11:49,read,annotation,document
77,54,10/27/15 11:49,read,person,document
77,54,10/27/15 11:49,read,annotation,document
77,54,10/27/15 11:49,read,person,document
77,54,10/27/15 11:49,read,annotation,document
77,54,10/27/15 11:49,deleted,annotation,document
77,54,10/27/15 11:50,focused,document,document
77,54,10/27/15 11:50,updated,person,document
77,54,10/27/15 11:50,created,annotation,document
77,54,10/27/15 11:52,read,person,document
77,54,10/27/15 11:52,read,annotation,document
77,54,10/27/15 11:54,created,person,document
77,54,10/27/15 11:54,created,annotations,document
77,54,10/27/15 11:55,created,event,document
77,54,10/27/15 11:55,created,annotations,document
77,54,10/27/15 11:55,read,event,document
77,54,10/27/15 11:55,read,annotation,document
77,54,10/27/15 11:55,updated,event,document
77,54,10/27/15 11:55,updated,relationship,document
77,54,10/27/15 11:55,updated,annotations,document
77,54,10/27/15 11:56,focused,map,map
77,54,10/27/15 11:57,read,location,map
77,54,10/27/15 11:57,focused,document,document
77,54,10/27/15 11:57,read,person,document
77,54,10/27/15 11:57,read,event,document
77,54,10/27/15 11:57,read,annotation,document
77,54,10/27/15 12:02,focused,map,map
77,54,10/27/15 12:02,created,relationship,document
77,54,10/27/15 12:02,created,event,document
77,54,10/27/15 12:02,created,annotation,document
77,54,10/27/15 12:02,read,event,document
77,54,10/27/15 12:02,read,annotation,document
77,54,10/27/15 12:03,read,event,document
77,54,10/27/15 12:03,read,annotation,document
77,54,10/27/15 12:03,read,event,document
77,54,10/27/15 12:03,read,annotation,document
77,54,10/27/15 12:03,updated,event,document
77,54,10/27/15 12:03,updated,relationship,document
77,54,10/27/15 12:03,updated,annotations,document
77,54,10/27/15 12:03,read,event,document
77,54,10/27/15 12:03,read,annotation,document
77,54,10/27/15 12:03,deleted,annotations,document
77,54,10/27/15 12:05,created,relationship,document
77,54,10/27/15 12:05,created,event,document
77,54,10/27/15 12:05,created,annotation,document
77,54,10/27/15 12:06,read,event,document
77,54,10/27/15 12:06,read,annotation,document
77,54,10/27/15 12:08,created,annotation,document
77,54,10/27/15 12:08,created,resource,document
77,54,10/27/15 12:09,created,resource,document
77,54,10/27/15 12:09,created,annotation,document
77,54,10/27/15 12:09,read,resource,document
77,54,10/27/15 12:09,read,annotation,document
77,54,10/27/15 12:09,created,resource,document
77,54,10/27/15 12:09,created,annotation,document
77,54,10/27/15 12:09,read,resource,document
77,54,10/27/15 12:09,read,annotation,document
77,54,10/27/15 12:10,read,person,document
77,54,10/27/15 12:10,read,annotation,document
77,54,10/27/15 12:10,read,resource,document
77,54,10/27/15 12:10,read,annotation,document
77,54,10/27/15 12:11,created,relationship,document
77,54,10/27/15 12:11,created,event,document
77,54,10/27/15 12:11,created,annotation,document
77,54,10/27/15 12:11,read,event,document
77,54,10/27/15 12:11,read,annotation,document
77,54,10/27/15 12:12,focused,notepad,notepad
77,54,10/27/15 12:12,focused,network,network
77,54,10/27/15 12:12,read,relationship,network
77,54,10/27/15 12:12,read,relationship,network
77,54,10/27/15 12:13,read,event,network
77,54,10/27/15 12:13,read,resource,network
77,54,10/27/15 12:13,read,person,network
77,54,10/27/15 12:13,read,resource,network
77,54,10/27/15 12:13,read,person,network
77,54,10/27/15 12:13,created,relationship,network
77,54,10/27/15 12:14,read,resource,network
77,54,10/27/15 12:14,read,resource,network
77,54,10/27/15 12:14,read,resource,network
77,54,10/27/15 12:14,created,relationship,network
77,54,10/27/15 12:14,read,resource,network
77,54,10/27/15 12:14,read,person,network
77,54,10/27/15 12:14,read,resource,network
77,54,10/27/15 12:15,read,person,network
77,54,10/27/15 12:15,created,relationship,network
77,54,10/27/15 12:15,focused,document,document
77,54,10/27/15 12:15,read,event,document
77,54,10/27/15 12:15,read,annotation,document
77,54,10/27/15 12:16,read,resource,document
77,54,10/27/15 12:16,read,annotation,document
77,54,10/27/15 12:16,read,resource,document
77,54,10/27/15 12:16,read,annotation,document
77,54,10/27/15 12:16,read,resource,document
77,54,10/27/15 12:16,read,annotation,document
77,54,10/27/15 12:16,read,resource,document
77,54,10/27/15 12:16,read,annotation,document
77,54,10/27/15 12:17,created,location,document
77,54,10/27/15 12:17,created,annotation,document
77,54,10/27/15 12:17,read,resource,document
77,54,10/27/15 12:17,read,location,document
77,54,10/27/15 12:17,read,annotation,document
77,54,10/27/15 12:17,read,resource,document
77,54,10/27/15 12:17,read,annotation,document
77,54,10/27/15 12:17,read,location,document
77,54,10/27/15 12:17,read,resource,document
77,54,10/27/15 12:17,read,annotation,document
77,54,10/27/15 12:18,focused,notepad,notepad
77,54,10/27/15 12:18,focused,network,network
77,54,10/27/15 12:19,focused,network,network
77,54,10/27/15 12:20,created,location,document
77,54,10/27/15 12:20,created,annotation,document
77,54,10/27/15 12:21,created,person,document
77,54,10/27/15 12:21,created,annotation,document
77,54,10/27/15 12:22,created,person,document
77,54,10/27/15 12:22,created,annotations,document
77,54,10/27/15 12:22,read,person,document
77,54,10/27/15 12:22,read,annotation,document
77,54,10/27/15 12:22,updated,person,document
77,54,10/27/15 12:22,updated,annotations,document
77,54,10/27/15 12:22,read,person,document
77,54,10/27/15 12:22,read,annotation,document
77,54,10/27/15 12:22,updated,person,document
77,54,10/27/15 12:22,updated,annotations,document
77,54,10/27/15 12:22,read,person,document
77,54,10/27/15 12:22,read,annotation,document
77,54,10/27/15 12:22,deleted,annotation,document
77,54,10/27/15 12:22,updated,person,document
77,54,10/27/15 12:22,created,annotations,document
77,54,10/27/15 12:23,created,person,document
77,54,10/27/15 12:23,created,annotations,document
77,54,10/27/15 12:24,created,relationship,document
77,54,10/27/15 12:24,created,event,document
77,54,10/27/15 12:24,created,annotation,document
77,54,10/27/15 12:24,read,event,document
77,54,10/27/15 12:24,read,annotation,document
77,54,10/27/15 12:26,created,event,document
77,54,10/27/15 12:26,created,relationship,document
77,54,10/27/15 12:26,created,annotation,document
77,54,10/29/15 11:16,focused,document,document
77,54,10/29/15 11:17,read,location,document
77,54,10/29/15 11:17,read,annotation,document
77,54,10/29/15 11:18,read,event,document
77,54,10/29/15 11:18,read,annotation,document
77,54,10/29/15 11:18,read,person,document
77,54,10/29/15 11:18,read,annotation,document
77,54,10/29/15 11:18,read,location,document
77,54,10/29/15 11:18,read,annotation,document
77,54,10/29/15 11:18,read,person,document
77,54,10/29/15 11:18,read,event,document
77,54,10/29/15 11:18,read,annotation,document
77,54,10/29/15 11:18,read,event,document
77,54,10/29/15 11:18,read,person,document
77,54,10/29/15 11:18,read,annotation,document
77,54,10/29/15 11:18,read,person,document
77,54,10/29/15 11:18,read,annotation,document
77,54,10/29/15 11:18,read,event,document
77,54,10/29/15 11:18,read,annotation,document
77,54,10/29/15 11:20,read,person,document
77,54,10/29/15 11:20,read,annotation,document
77,54,10/29/15 11:20,read,location,document
77,54,10/29/15 11:20,read,annotation,document
77,54,10/29/15 11:20,read,person,document
77,54,10/29/15 11:20,read,annotation,document
77,54,10/29/15 11:20,read,event,document
77,54,10/29/15 11:20,read,annotation,document
77,54,10/29/15 11:20,read,event,document
77,54,10/29/15 11:20,read,annotation,document
77,54,10/29/15 11:21,focused,map,map
77,54,10/29/15 11:21,read,location,map
77,54,10/29/15 11:22,focused,document,document
77,54,10/29/15 11:23,read,event,document
77,54,10/29/15 11:23,read,annotation,document
77,54,10/29/15 11:24,read,event,document
77,54,10/29/15 11:24,read,annotation,document
77,54,10/29/15 11:24,focused,document,document
77,54,10/29/15 11:24,focused,map,map
77,54,10/29/15 11:24,focused,document,document
77,54,10/29/15 11:24,read,event,document
77,54,10/29/15 11:24,read,annotation,document
77,54,10/29/15 11:24,deleted,annotation,document
77,54,10/29/15 11:24,focused,document,document
77,54,10/29/15 11:24,read,event,document
77,54,10/29/15 11:24,read,annotation,document
77,54,10/29/15 11:24,focused,document,document
77,54,10/29/15 11:24,focused,map,map
77,54,10/29/15 11:24,focused,map,map
77,54,10/29/15 11:24,focused,document,document
77,54,10/29/15 11:24,focused,document,document
77,54,10/29/15 11:24,focused,map,map
77,54,10/29/15 11:25,read,event,document
77,54,10/29/15 11:25,read,annotation,document
77,54,10/29/15 11:25,read,event,document
77,54,10/29/15 11:25,read,annotation,document
77,54,10/29/15 11:25,deleted,annotation,document
77,54,10/29/15 11:25,read,event,document
77,54,10/29/15 11:25,read,annotation,document
77,54,10/29/15 11:25,deleted,annotation,document
77,54,10/29/15 11:25,focused,document,document
77,54,10/29/15 11:25,focused,map,map
77,54,10/29/15 11:25,focused,document,document
77,54,10/29/15 11:25,focused,map,map
77,54,10/29/15 11:25,focused,document,document
77,54,10/29/15 11:25,focused,map,map
77,54,10/29/15 11:25,focused,document,document
77,54,10/29/15 11:25,focused,document,document
77,54,10/29/15 11:25,focused,map,map
77,54,10/29/15 11:27,created,event,document
77,54,10/29/15 11:27,created,relationship,document
77,54,10/29/15 11:27,created,annotation,document
77,54,10/29/15 11:27,read,resource,document
77,54,10/29/15 11:27,read,annotation,document
77,54,10/29/15 11:27,read,resource,document
77,54,10/29/15 11:27,read,annotation,document
77,54,10/29/15 11:27,read,resource,document
77,54,10/29/15 11:27,read,annotation,document
77,54,10/29/15 11:27,read,resource,document
77,54,10/29/15 11:27,read,annotation,document
77,54,10/29/15 11:27,read,resource,document
77,54,10/29/15 11:27,read,annotation,document
77,54,10/29/15 11:27,updated,resource,document
77,54,10/29/15 11:27,updated,annotation,document
77,54,10/29/15 11:27,read,resource,document
77,54,10/29/15 11:27,read,annotation,document
77,54,10/29/15 11:27,deleted,annotation,document
77,54,10/29/15 11:27,read,resource,document
77,54,10/29/15 11:27,read,annotation,document
77,54,10/29/15 11:27,deleted,annotation,document
77,54,10/29/15 11:27,read,resource,document
77,54,10/29/15 11:27,read,annotation,document
77,54,10/29/15 11:27,deleted,annotation,document
77,54,10/29/15 11:27,read,resource,document
77,54,10/29/15 11:27,read,annotation,document
77,54,10/29/15 11:28,read,resource,document
77,54,10/29/15 11:28,read,annotation,document
77,54,10/29/15 11:28,deleted,annotation,document
