group_id,score_K,score_D,diff,adjust,ca_user
205,3,3,0,3,0
207,5,6,1,5.5,0
200,8,9,1,8.5,0
204,8,9,1,8.5,0
206,8,9,1,8.5,0
202,5,8,3,9,0
201,9,10,1,9.5,0
203,10,9,1,9.5,0
79,1,2,1,1.5,1
105,4,3,1,3.5,1
86,5,4,1,4.5,1
82,5,5,0,5,1
83,7,4,3,6,1
88,8,6,2,6,1
101,10,5,5,6,1
111,6,6,0,6,1
84,0,6,6,6,1
89,5,8,3,6.5,1
110,6,7,1,6.5,1
80,7,7,0,7,1
81,8,5,3,7,1
85,7,8,1,7.5,1
106,7,8,1,7.5,1
92,5,8,3,8,1
77,9,8,1,8.5,1
90,8,10,2,9,1
108,9,9,0,9,1
87,9,10,1,9.5,1
109,6,10,4,11,1
78,12,13,1,12.5,1
93,12,13,1,12.5,1
107,12,13,1,12.5,1
104,10,14,4,14,1
