ID,Case ID,Case Name,Group ID,Group Name,Item Name,Item Type,Created by User Name,Created by User ID,Created Time,Last Edited by User Name,Last Edited by User ID,Last Edited Time,isDeleted,Source ID,Source Name,Source Type,Target ID,Target Name,Target Type
4260,8,Training Two,145,admin,involve,relationship,duc196,175,12/01/2016-15:58:20,duc196,175,12/01/2016-15:58:20,False,4378,Go to New York weekend,event,3593,New York,location
4259,8,Training Two,145,admin,involve,relationship,duc196,175,12/01/2016-15:58:20,duc196,175,12/01/2016-15:58:20,False,4378,Go to New York weekend,event,3582,Lisa,person
4258,8,Training Two,145,admin,friend,relationship,duc196,175,12/01/2016-15:56:30,,,12/01/2016-15:56:54,True,3581,Tom,person,3582,Lisa,person
4257,8,Training Two,145,admin,involve,relationship,duc196,175,12/01/2016-15:54:57,duc196,175,12/01/2016-15:54:57,True,3594,Go to New York,event,3593,New York,location
4256,4,Laptop Theft,165,group14,involve,relationship,eme5118,195,11/16/2016-14:11:02,eme5118,195,11/16/2016-14:11:02,False,4376,research assistant,event,4375,applied research lab,location
4255,4,Laptop Theft,165,group14,involve,relationship,eme5118,195,11/16/2016-14:11:02,eme5118,195,11/16/2016-14:11:02,False,4376,research assistant,event,4377,Ursela,person
4254,4,Laptop Theft,165,group14,involve,relationship,eme5118,195,11/16/2016-14:08:53,eme5118,195,11/16/2016-14:08:53,False,4373,sugar and caffeine,event,4360,Dunkin,location
4253,4,Laptop Theft,165,group14,involve,relationship,eme5118,195,11/16/2016-14:08:53,eme5118,195,11/16/2016-14:08:53,False,4373,sugar and caffeine,event,3430,Vanesa,person
4252,4,Laptop Theft,165,group14,involve,relationship,eme5118,195,11/16/2016-14:08:06,eme5118,195,11/16/2016-14:08:06,False,4372,Theater,event,3430,Vanesa,person
4251,4,Laptop Theft,165,group14,involve,relationship,eme5118,195,11/16/2016-14:06:52,eme5118,195,11/16/2016-14:06:52,False,4371,movie,event,4370,College 9,location
4250,4,Laptop Theft,165,group14,involve,relationship,eme5118,195,11/16/2016-14:06:52,eme5118,195,11/16/2016-14:06:52,False,4371,movie,event,3404,Isabel,person
4249,4,Laptop Theft,165,group14,involve,relationship,eme5118,195,11/16/2016-14:06:52,eme5118,195,11/16/2016-14:06:52,False,4371,movie,event,3425,Dante,person
4248,4,Laptop Theft,165,group14,involve,relationship,eme5118,195,11/16/2016-14:06:32,eme5118,195,11/16/2016-14:06:32,False,4371,movie,event,4370,College 9,location
4247,4,Laptop Theft,165,group14,Hit Car,relationship,vnd5015,176,11/16/2016-14:04:59,,,11/16/2016-14:04:59,False,4095,mikayla,person,3893,Cristian,person
4246,4,Laptop Theft,165,group14,involve,relationship,eme5118,195,11/16/2016-14:04:08,eme5118,195,11/16/2016-14:04:08,False,4367,STARTUP,event,4368,business building,location
4245,4,Laptop Theft,165,group14,involve,relationship,eme5118,195,11/16/2016-14:03:19,eme5118,195,11/16/2016-14:03:19,False,4366,assistantship,event,4343,Patee Library,location
4244,4,Laptop Theft,165,group14,same major,relationship,vnd5015,176,11/16/2016-14:03:06,,,11/16/2016-14:03:06,False,3890,Elizabeth,person,4063,Sean,person
4243,4,Laptop Theft,165,group14,involve,relationship,eme5118,195,11/16/2016-14:02:54,eme5118,195,11/16/2016-14:02:54,False,4367,STARTUP,event,4357,Nicolas,person
4242,4,Laptop Theft,165,group14,involve,relationship,eme5118,195,11/16/2016-14:02:54,eme5118,195,11/16/2016-14:02:54,False,4367,STARTUP,event,3471,Jordan,person
4241,4,Laptop Theft,165,group14,involve,relationship,eme5118,195,11/16/2016-14:02:54,eme5118,195,11/16/2016-14:02:54,False,4367,STARTUP,event,3465,Holly,person
4240,4,Laptop Theft,165,group14,involve,relationship,eme5118,195,11/16/2016-14:00:52,eme5118,195,11/16/2016-14:00:52,False,4366,assistantship,event,4343,Patee Library,location
4239,4,Laptop Theft,165,group14,involve,relationship,eme5118,195,11/16/2016-14:00:52,eme5118,195,11/16/2016-14:00:52,False,4366,assistantship,event,4357,Nicolas,person
4238,4,Laptop Theft,165,group14,same major,relationship,vnd5015,176,11/16/2016-14:00:41,,,11/16/2016-14:00:41,False,3425,Dante,person,4364,Quentin,person
4237,4,Laptop Theft,165,group14,involve,relationship,eme5118,195,11/16/2016-13:59:59,eme5118,195,11/16/2016-13:59:59,False,4365,materials,event,3463,Pattee Library,location
4236,4,Laptop Theft,165,group14,involve,relationship,eme5118,195,11/16/2016-13:59:59,eme5118,195,11/16/2016-13:59:59,False,4365,materials,event,4364,Quentin,person
4235,4,Laptop Theft,165,group14,involve,relationship,eme5118,195,11/16/2016-13:57:58,eme5118,195,11/16/2016-13:57:58,False,4363,work out,event,3480,White Building,location
4234,4,Laptop Theft,165,group14,involve,relationship,eme5118,195,11/16/2016-13:57:58,eme5118,195,11/16/2016-13:57:58,False,4363,work out,event,4157,Riley,person
4231,4,Laptop Theft,165,group14,involve,relationship,eme5118,195,11/16/2016-13:51:59,eme5118,195,11/16/2016-13:51:59,False,4359,Currently,event,4355,NY,location
4230,4,Laptop Theft,165,group14,involve,relationship,eme5118,195,11/16/2016-13:51:58,eme5118,195,11/16/2016-13:51:58,False,4359,Currently,event,4357,Nicolas,person
4229,4,Laptop Theft,161,Team 3,involve,relationship,szc5510,184,11/16/2016-13:49:42,szc5510,184,11/16/2016-13:49:42,False,4358,9/11/2015,event,3406,Jordan,person
4228,4,Laptop Theft,161,Team 3,involve,relationship,szc5510,184,11/16/2016-13:47:51,szc5510,184,11/16/2016-13:47:51,False,4352,9/8/2015,event,3558,Xavier,person
4227,4,Laptop Theft,165,group14,involve,relationship,eme5118,195,11/16/2016-13:47:21,eme5118,195,11/16/2016-13:47:21,False,4351,Work Fri,event,4343,Patee Library,location
4226,4,Laptop Theft,165,group14,involve,relationship,eme5118,195,11/16/2016-13:47:21,eme5118,195,11/16/2016-13:47:21,False,4351,Work Fri,event,4184,Zahra,person
4225,4,Laptop Theft,164,Group 11,involve,relationship,edc5129,180,11/16/2016-13:46:30,edc5129,180,11/16/2016-13:46:30,False,4348,Microcomputer Applications in Business,event,4349,Computer Building 308,location
4223,4,Laptop Theft,161,Team 3,involve,relationship,szc5510,184,11/16/2016-13:45:54,szc5510,184,11/16/2016-13:45:54,False,4344,$600.00,event,3560,Zahra,person
4222,4,Laptop Theft,164,Group 11,involve,relationship,edc5129,180,11/16/2016-13:45:21,edc5129,180,11/16/2016-13:45:21,False,4340,Chemical Principle,event,4341,Willard 016,location
4218,4,Laptop Theft,164,Group 11,involve,relationship,edc5129,180,11/16/2016-13:44:32,edc5129,180,11/16/2016-13:44:32,False,4333,Ballet,event,4334,White Building,location
4214,4,Laptop Theft,164,Group 11,involve,relationship,edc5129,180,11/16/2016-13:43:43,edc5129,180,11/16/2016-13:43:43,False,4333,Ballet,event,4334,White Building,location
