ID,Case ID,Group ID,User ID,Role
114,4,165,1,Record Analyst
113,4,165,175,Interview Analyst
112,4,164,213,Web Analyst
111,4,171,198,Interview Analyst
110,4,171,183,Web Analyst
109,4,171,188,Record Analyst
108,4,170,177,Record Analyst
107,4,162,196,Interview Analyst
106,8,169,177,A random role
105,8,145,1,A random role
104,8,145,211,A random role
103,8,145,210,A random role
102,4,164,185,Interview Analyst
101,4,166,208,Interview Analyst
100,4,164,180,Record Analyst
99,4,166,205,Record Analyst
98,4,163,206,Web Analyst
97,4,163,179,Record Analyst
96,4,165,195,Web Analyst
95,4,162,170,Record Analyst
94,4,165,187,Record Analyst
93,4,166,182,Web Analyst
92,4,164,190,Interview Analyst
91,4,160,178,Record Analyst
90,4,160,126,Interview Analyst
89,4,161,184,Record Analyst
88,4,165,176,Interview Analyst
86,4,163,201,Interview Analyst
85,4,158,209,Web Analyst
84,4,161,200,Web Analyst
83,4,162,192,Web Analyst
82,4,158,197,Interview Analyst
81,4,159,191,Web Analyst
80,4,159,150,Record Analyst
79,4,161,204,Interview Analyst
78,4,160,189,Web Analyst
77,4,159,159,Interview Analyst
76,4,158,186,Record Analyst
75,8,146,175,A random role
74,8,146,1,A random role
73,8,156,183,A random role
72,8,156,198,A random role
71,8,148,209,A random role
70,8,151,201,A random role
69,8,149,126,A random role
68,8,154,205,A random role
67,8,155,208,A random role
66,8,153,196,A random role
65,8,149,178,A random role
64,8,147,195,A random role
63,8,156,188,A random role
62,8,153,170,A random role
61,8,155,206,A random role
60,8,146,200,A random role
59,8,154,182,A random role
58,8,146,184,A random role
57,8,152,150,A random role
56,8,152,159,A random role
55,8,150,180,A random role
54,8,148,197,A random role
53,8,153,192,A random role
52,8,152,191,A random role
51,8,147,187,A random role
50,8,151,179,A random role
49,8,150,185,A random role
48,8,149,189,A random role
47,8,148,186,A random role
46,8,147,176,A random role
45,8,146,204,A random role
44,8,145,175,A random role
43,7,144,1,A random role
42,7,143,206,A random role
41,4,142,175,Record Analyst
40,4,142,1,Web Analyst
39,7,118,202,A random role
38,7,141,178,A random role
37,7,140,175,A random role
36,7,139,1,A random role
35,7,118,205,A random role
34,7,125,1,A random role
33,7,115,1,A random role
32,7,137,204,A random role
31,7,136,1,A random role
30,7,135,201,A random role
29,7,134,1,A random role
28,7,133,200,A random role
27,7,132,179,A random role
26,7,115,196,A random role
25,7,117,191,A random role
24,7,131,188,A random role
23,7,117,150,A random role
22,7,130,183,A random role
21,7,129,198,A random role
20,7,125,186,A random role
19,7,122,181,A random role
18,7,128,176,A random role
17,7,127,187,A random role
16,7,126,195,A random role
15,7,122,190,A random role
14,7,119,180,A random role
13,7,125,197,A random role
12,7,124,189,A random role
11,7,119,194,A random role
9,7,121,196,A random role
8,7,120,184,A random role
7,7,119,185,A random role
6,7,118,182,A random role
5,7,117,159,A random role
4,7,116,177,A random role
3,7,115,192,A random role
2,7,114,175,A random role
1,7,114,1,A random role
