ID,Case ID,Case Name,Group ID,Group Name,Item Name,Item Type,Created by User Name,Created by User ID,Created Time,Last Edited by User Name,Last Edited by User ID,Last Edited Time,isDeleted
931,2,Red Hat Robbers,78,The Mystery Gang,Jersey Shore Bank,location,jsm5561,25,10/27/2015-11:38:35,chsisley,62,10/27/2015-11:59:28,FALSE
932,2,Red Hat Robbers,79,JMN 231,State College,location,jpz5064,139,10/27/2015-11:38:50,jpz5064,139,10/27/2015-11:38:51,FALSE
933,2,Red Hat Robbers,78,The Mystery Gang,lone white male (LWM) Jersey Shore Bank,person,Francis,144,10/27/2015-11:40:02,jsm5561,25,10/27/2015-12:13:04,FALSE
934,2,Red Hat Robbers,79,JMN 231,The Red Hat Robbers,organization,jpz5064,139,10/27/2015-11:40:05,jpz5064,139,10/27/2015-11:40:06,FALSE
935,2,Red Hat Robbers,82,Analyticats,2050 N. Atherton St. State,location,gkw5026,141,10/27/2015-11:40:58,gkw5026,141,10/29/2015-11:44:15,TRUE
936,2,Red Hat Robbers,78,The Mystery Gang,Erin Hecker,person,Francis,144,10/27/2015-11:41:00,chsisley,62,10/27/2015-11:50:23,FALSE
937,2,Red Hat Robbers,92,Red Hat Analysts ,Jersey Shore Bank,location,cmg5726,133,10/27/2015-11:41:06,wpg5026,34,10/28/2015-14:16:53,FALSE
938,2,Red Hat Robbers,78,The Mystery Gang,Mark Haley,person,Francis,144,10/27/2015-11:41:38,Francis,144,10/27/2015-11:41:38,FALSE
939,2,Red Hat Robbers,78,The Mystery Gang,State College,location,chsisley,62,10/27/2015-11:42:30,chsisley,62,10/27/2015-11:42:31,FALSE
940,2,Red Hat Robbers,87,TeamJaws,Citizen‰Ûªs Bank,location,asl5270,24,10/27/2015-11:42:33,asl5270,24,10/27/2015-11:42:33,FALSE
941,2,Red Hat Robbers,92,Red Hat Analysts ,Jersey Shore Suspect ,person,cmg5726,133,10/27/2015-11:42:40,des5491,44,10/27/2015-12:13:17,FALSE
942,2,Red Hat Robbers,82,Analyticats,lone white male,person,PatrickAugust,46,10/27/2015-11:42:55,Emelendez89,153,10/29/2015-11:51:19,TRUE
943,2,Red Hat Robbers,78,The Mystery Gang,non descript pale blue van,resource,Francis,144,10/27/2015-11:42:59,Francis,144,10/27/2015-11:42:59,FALSE
944,2,Red Hat Robbers,92,Red Hat Analysts ,Erin HECKER,person,cmg5726,133,10/27/2015-11:43:14,cmg5726,133,10/29/2015-11:43:53,TRUE
