ID,Case ID,Case Name,Group ID,Group Name,Item Name,Item Type,Created by User Name,Created by User ID,Created Time,Last Edited by User Name,Last Edited by User ID,Last Edited Time,isDeleted,Source ID,Source Name,Source Type,Target ID,Target Name,Target Type
2785,2,Red Hat Robbers,93,Red Hat Researchers,involve,relationship,MikeC123,154,11/01/2015-23:13:42,,,11/01/2015-23:13:42,False,2322,Patrick Redd,person,2379,van,resource
2784,2,Red Hat Robbers,93,Red Hat Researchers,involve,relationship,MikeC123,154,11/01/2015-23:13:26,,,11/01/2015-23:13:26,False,2322,Patrick Redd,person,2379,van,resource
2783,2,Red Hat Robbers,93,Red Hat Researchers,involve,relationship,MikeC123,154,11/01/2015-23:12:32,,,11/01/2015-23:12:32,False,1275,Reliance Bank,location,1564,Patricia Shaffner,person
2782,2,Red Hat Robbers,93,Red Hat Researchers,involve,relationship,MikeC123,154,11/01/2015-23:12:20,,,11/01/2015-23:12:20,False,1275,Reliance Bank,location,1564,Patricia Shaffner,person
2781,2,Red Hat Robbers,93,Red Hat Researchers,involve,relationship,MikeC123,154,11/01/2015-23:12:03,,,11/01/2015-23:12:03,False,1275,Reliance Bank,location,1544,Joe Williamson,person
2780,2,Red Hat Robbers,93,Red Hat Researchers,involve,relationship,MikeC123,154,11/01/2015-23:11:53,,,11/01/2015-23:11:53,False,1275,Reliance Bank,location,1544,Joe Williamson,person
2779,2,Red Hat Robbers,93,Red Hat Researchers,involve,relationship,MikeC123,154,11/01/2015-23:09:58,,,11/01/2015-23:09:58,False,2204,Chris Clark,person,2196,First National Bank Downtown,location
2778,2,Red Hat Robbers,93,Red Hat Researchers,involve,relationship,MikeC123,154,11/01/2015-23:09:48,,,11/01/2015-23:09:48,False,2204,Chris Clark,person,2196,First National Bank Downtown,location
2777,2,Red Hat Robbers,93,Red Hat Researchers,involve,relationship,MikeC123,154,11/01/2015-23:08:12,,,11/01/2015-23:08:12,False,2217,Jeff Van Natter,person,2206,Northwest SavingsBank,location
2776,2,Red Hat Robbers,93,Red Hat Researchers,involve,relationship,MikeC123,154,11/01/2015-23:07:59,,,11/01/2015-23:07:59,False,2217,Jeff Van Natter,person,2206,Northwest SavingsBank,location
