group,user,time,action,object,tool
77,54,2015/10/27 11:37:27,focused,document,document
77,54,2015/10/27 11:44:32,created,location,document
77,54,2015/10/27 11:44:32,created,annotations,document
77,54,2015/10/27 11:45:43,created,person,document
77,54,2015/10/27 11:45:43,created,annotations,document
77,54,2015/10/27 11:46:27,created,person,document
77,54,2015/10/27 11:46:27,created,annotations,document
77,54,2015/10/27 11:46:29,read,person,document
77,54,2015/10/27 11:46:29,read,annotation,document
77,54,2015/10/27 11:47:26,created,person,document
77,54,2015/10/27 11:47:26,created,annotations,document
77,54,2015/10/27 11:47:52,focused,notepad,notepad
77,54,2015/10/27 11:48:08,focused,document,document
77,54,2015/10/27 11:48:17,focused,notepad,notepad
77,54,2015/10/27 11:48:22,focused,document,document
77,54,2015/10/27 11:48:23,focused,notepad,notepad
77,54,2015/10/27 11:48:25,focused,document,document
77,54,2015/10/27 11:48:55,read,person,document
77,54,2015/10/27 11:48:55,read,annotation,document
77,54,2015/10/27 11:49:08,updated,person,document
77,54,2015/10/27 11:49:08,updated,annotations,document
77,54,2015/10/27 11:49:10,read,person,document
77,54,2015/10/27 11:49:10,read,annotation,document
77,54,2015/10/27 11:49:18,read,person,document
77,54,2015/10/27 11:49:18,read,annotation,document
77,54,2015/10/27 11:49:25,deleted,annotations,document
77,54,2015/10/27 11:49:29,read,person,document
77,54,2015/10/27 11:49:29,read,annotation,document
77,54,2015/10/27 11:49:30,read,person,document
77,54,2015/10/27 11:49:30,read,annotation,document
77,54,2015/10/27 11:49:37,read,person,document
77,54,2015/10/27 11:49:37,read,annotation,document
77,54,2015/10/27 11:49:41,read,person,document
77,54,2015/10/27 11:49:41,read,annotation,document
77,54,2015/10/27 11:49:45,read,person,document
77,54,2015/10/27 11:49:45,read,annotation,document
77,54,2015/10/27 11:49:54,deleted,annotation,document
77,54,2015/10/27 11:50:00,focused,document,document
77,54,2015/10/27 11:50:26,updated,person,document
77,54,2015/10/27 11:50:26,created,annotation,document
77,54,2015/10/27 11:52:36,read,person,document
77,54,2015/10/27 11:52:36,read,annotation,document
77,54,2015/10/27 11:54:02,created,person,document
77,54,2015/10/27 11:54:02,created,annotations,document
77,54,2015/10/27 11:55:44,created,event,document
77,54,2015/10/27 11:55:44,created,annotations,document
77,54,2015/10/27 11:55:46,read,event,document
77,54,2015/10/27 11:55:46,read,annotation,document
77,54,2015/10/27 11:55:58,updated,event,document
77,54,2015/10/27 11:55:58,updated,relationship,document
77,54,2015/10/27 11:55:58,updated,annotations,document
77,54,2015/10/27 11:56:55,focused,map,map
77,54,2015/10/27 11:57:12,read,location,map
77,54,2015/10/27 11:57:20,focused,document,document
77,54,2015/10/27 11:57:21,read,person,document
77,54,2015/10/27 11:57:21,read,event,document
77,54,2015/10/27 11:57:21,read,annotation,document
77,54,2015/10/27 12:02:34,focused,map,map
77,54,2015/10/27 12:02:54,created,relationship,document
77,54,2015/10/27 12:02:54,created,event,document
77,54,2015/10/27 12:02:54,created,annotation,document
77,54,2015/10/27 12:02:57,read,event,document
77,54,2015/10/27 12:02:57,read,annotation,document
77,54,2015/10/27 12:03:02,read,event,document
77,54,2015/10/27 12:03:02,read,annotation,document
77,54,2015/10/27 12:03:04,read,event,document
77,54,2015/10/27 12:03:04,read,annotation,document
77,54,2015/10/27 12:03:09,updated,event,document
77,54,2015/10/27 12:03:09,updated,relationship,document
77,54,2015/10/27 12:03:09,updated,annotations,document
77,54,2015/10/27 12:03:18,read,event,document
77,54,2015/10/27 12:03:18,read,annotation,document
77,54,2015/10/27 12:03:22,deleted,annotations,document
77,54,2015/10/27 12:05:15,created,relationship,document
77,54,2015/10/27 12:05:15,created,event,document
77,54,2015/10/27 12:05:15,created,annotation,document
77,54,2015/10/27 12:06:14,read,event,document
77,54,2015/10/27 12:06:14,read,annotation,document
77,54,2015/10/27 12:08:35,created,annotation,document
77,54,2015/10/27 12:08:35,created,resource,document
77,54,2015/10/27 12:09:14,created,resource,document
77,54,2015/10/27 12:09:14,created,annotation,document
77,54,2015/10/27 12:09:15,read,resource,document
77,54,2015/10/27 12:09:15,read,annotation,document
77,54,2015/10/27 12:09:51,created,resource,document
77,54,2015/10/27 12:09:51,created,annotation,document
77,54,2015/10/27 12:09:59,read,resource,document
77,54,2015/10/27 12:09:59,read,annotation,document
77,54,2015/10/27 12:10:11,read,person,document
77,54,2015/10/27 12:10:11,read,annotation,document
77,54,2015/10/27 12:10:39,read,resource,document
77,54,2015/10/27 12:10:39,read,annotation,document
77,54,2015/10/27 12:11:27,created,relationship,document
77,54,2015/10/27 12:11:27,created,event,document
77,54,2015/10/27 12:11:27,created,annotation,document
77,54,2015/10/27 12:11:32,read,event,document
77,54,2015/10/27 12:11:32,read,annotation,document
77,54,2015/10/27 12:12:24,focused,notepad,notepad
77,54,2015/10/27 12:12:43,focused,network,network
77,54,2015/10/27 12:12:49,read,relationship,network
77,54,2015/10/27 12:12:51,read,relationship,network
77,54,2015/10/27 12:13:04,read,event,network
77,54,2015/10/27 12:13:10,read,resource,network
77,54,2015/10/27 12:13:13,read,person,network
77,54,2015/10/27 12:13:28,read,resource,network
77,54,2015/10/27 12:13:31,read,person,network
77,54,2015/10/27 12:13:58,created,relationship,network
77,54,2015/10/27 12:14:03,read,resource,network
77,54,2015/10/27 12:14:13,read,resource,network
77,54,2015/10/27 12:14:19,read,resource,network
77,54,2015/10/27 12:14:34,created,relationship,network
77,54,2015/10/27 12:14:41,read,resource,network
77,54,2015/10/27 12:14:44,read,person,network
77,54,2015/10/27 12:14:59,read,resource,network
77,54,2015/10/27 12:15:00,read,person,network
77,54,2015/10/27 12:15:08,created,relationship,network
77,54,2015/10/27 12:15:29,focused,document,document
77,54,2015/10/27 12:15:37,read,event,document
77,54,2015/10/27 12:15:37,read,annotation,document
77,54,2015/10/27 12:16:24,read,resource,document
77,54,2015/10/27 12:16:24,read,annotation,document
77,54,2015/10/27 12:16:26,read,resource,document
77,54,2015/10/27 12:16:26,read,annotation,document
77,54,2015/10/27 12:16:30,read,resource,document
77,54,2015/10/27 12:16:30,read,annotation,document
77,54,2015/10/27 12:16:31,read,resource,document
77,54,2015/10/27 12:16:31,read,annotation,document
77,54,2015/10/27 12:17:43,created,location,document
77,54,2015/10/27 12:17:43,created,annotation,document
77,54,2015/10/27 12:17:46,read,resource,document
77,54,2015/10/27 12:17:46,read,location,document
77,54,2015/10/27 12:17:46,read,annotation,document
77,54,2015/10/27 12:17:52,read,resource,document
77,54,2015/10/27 12:17:52,read,annotation,document
77,54,2015/10/27 12:17:54,read,location,document
77,54,2015/10/27 12:17:54,read,resource,document
77,54,2015/10/27 12:17:54,read,annotation,document
77,54,2015/10/27 12:18:29,focused,notepad,notepad
77,54,2015/10/27 12:18:32,focused,network,network
77,54,2015/10/27 12:19:11,focused,network,network
77,54,2015/10/27 12:20:45,created,location,document
77,54,2015/10/27 12:20:45,created,annotation,document
77,54,2015/10/27 12:21:28,created,person,document
77,54,2015/10/27 12:21:28,created,annotation,document
77,54,2015/10/27 12:22:05,created,person,document
77,54,2015/10/27 12:22:05,created,annotations,document
77,54,2015/10/27 12:22:08,read,person,document
77,54,2015/10/27 12:22:08,read,annotation,document
77,54,2015/10/27 12:22:16,updated,person,document
77,54,2015/10/27 12:22:16,updated,annotations,document
77,54,2015/10/27 12:22:22,read,person,document
77,54,2015/10/27 12:22:22,read,annotation,document
77,54,2015/10/27 12:22:39,updated,person,document
77,54,2015/10/27 12:22:39,updated,annotations,document
77,54,2015/10/27 12:22:40,read,person,document
77,54,2015/10/27 12:22:40,read,annotation,document
77,54,2015/10/27 12:22:46,deleted,annotation,document
77,54,2015/10/27 12:22:56,updated,person,document
77,54,2015/10/27 12:22:56,created,annotations,document
77,54,2015/10/27 12:23:33,created,person,document
77,54,2015/10/27 12:23:33,created,annotations,document
77,54,2015/10/27 12:24:55,created,relationship,document
77,54,2015/10/27 12:24:55,created,event,document
77,54,2015/10/27 12:24:55,created,annotation,document
77,54,2015/10/27 12:24:56,read,event,document
77,54,2015/10/27 12:24:56,read,annotation,document
77,54,2015/10/27 12:26:06,created,event,document
77,54,2015/10/27 12:26:06,created,relationship,document
77,54,2015/10/27 12:26:06,created,annotation,document
77,54,2015/10/29 11:16:50,focused,document,document
77,54,2015/10/29 11:17:03,read,location,document
77,54,2015/10/29 11:17:03,read,annotation,document
77,54,2015/10/29 11:18:10,read,event,document
77,54,2015/10/29 11:18:10,read,annotation,document
77,54,2015/10/29 11:18:19,read,person,document
77,54,2015/10/29 11:18:19,read,annotation,document
77,54,2015/10/29 11:18:28,read,location,document
